Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,1807,1795,1792,1784,1787,1764,1746,1736,1729,1673,1669,1676,1653,1637,1629,1625
Belgium,1595,1588,1583,1578,1573,1565,1572,1577,1570,1548,1546,1560,1560,1558,1560,1541
Switzerland,1674,1635,1614,1627,1657,1652,1643,1633,1623,1615,1612,1605,1591,1573,1568,1590
Czech Republic,1896,1818,1816,1806,1817,1817,1799,1784,1790,1779,1800,1806,1776,1763,1771,1779
Germany,1452,1442,1431,1425,1422,1411,1425,1424,1418,1373,1390,1393,1375,1362,1366,1371
Denmark,1490,1493,1487,1482,1481,1474,1479,1456,1450,1446,1436,1455,1437,1457,1458,1457
Spain,1753,1763,1765,1756,1742,1726,1716,1704,1713,1720,1710,1716,1700,1696,1698,1691
Estonia,1978,1970,1973,1978,1986,2008,2001,1998,1968,1831,1875,1919,1886,1866,1859,1852
Finland,1742,1723,1714,1705,1707,1697,1693,1691,1685,1661,1668,1662,1650,1640,1643,1646
France,1535,1526,1487,1484,1513,1507,1484,1500,1507,1489,1494,1496,1490,1474,1473,1482
United Kingdom,1700,1705,1684,1674,1674,1673,1669,1677,1659,1651,1650,1634,1654,1666,1677,1674
Greece,2108,2101,2093,2091,2083,2136,2125,2111,2106,2081,2020,2038,2055,2063,2026,2042
Hungary,2033,1993,2005,1978,1986,1987,1984,1979,1982,1963,1958,1976,1889,1880,1858,1749
Ireland,1933,1924,1904,1887,1875,1883,1879,1865,1844,1812,1801,1801,1806,1815,1821,1820
Iceland,2040,2053,2012,1972,1980,1970,1958,1932,1934,1849,1834,1878,1853,1846,1864,1880
Italy,1851,1838,1827,1816,1815,1812,1813,1818,1807,1776,1777,1773,1734,1720,1719,1725
Lithuania,1846,1831,1802,1786,1879,1879,1874,1904,1934,1863,1884,1859,1857,1841,1834,1860
Luxembourg,1603,1586,1581,1579,1579,1555,1556,1570,1570,1519,1521,1519,1513,1503,1509,1507
Latvia,1976,1987,1938,1928,1878,1906,1907,1878,2002,1952,1935,1952,1934,1928,1938,1903
Netherlands,1462,1452,1435,1427,1448,1434,1430,1430,1430,1422,1421,1422,1413,1415,1420,1419
Norway,1455,1429,1414,1401,1421,1423,1420,1426,1430,1407,1415,1421,1420,1408,1427,1424
Poland,1988,1974,1979,1984,1983,1994,1985,1976,1969,1948,1940,1938,1929,1918,1923,1963
Portugal,1917,1900,1894,1887,1893,1895,1883,1900,1887,1887,1890,1867,1849,1859,1865,1868
Slovak Republic,1816,1801,1754,1698,1742,1769,1774,1791,1793,1780,1805,1793,1789,1772,1760,1754
Slovenia,1710,1696,1721,1724,1737,1697,1667,1655,1674,1679,1680,1663,1636,1655,1676,1676
Sweden,1642,1618,1595,1582,1605,1605,1599,1612,1617,1609,1635,1632,1618,1609,1611,1612
